,close,high,low,open,time,volumefrom,volumeto
0,15182.17,15183.9,15166.27,15175.8,1513890240.0,73.62,1117393.38
1,15184.74,15185.06,15175.03,15180.87,1513890300.0,69.16,1048541.78
2,15209.78,15210.18,15179.15,15184.74,1513890360.0,78.88,1198710.19
3,15225.97,15235.69,15209.38,15209.78,1513890420.0,106.57,1628290.14
4,15253.68,15253.68,15224.25,15230.56,1513890480.0,97.57,1488230.46
5,15284.26,15285.46,15253.4,15253.68,1513890540.0,179.94,2724899.11
6,15243.28,15295.17,15236.95,15284.26,1513890600.0,108.82,1662439.83
7,15250.35,15256.42,15229.7,15235.26,1513890660.0,63.16,962626.4
8,15263.78,15270.36,15249.95,15250.35,1513890720.0,68.0,1033157.48
9,15263.36,15273.01,15250.79,15263.78,1513890780.0,69.14,1049707.4
10,15246.89,15264.42,15242.05,15263.36,1513890840.0,41.37,634302.38
11,15256.33,15256.33,15233.98,15246.89,1513890900.0,48.08,735653.77
12,15248.96,15254.93,15237.58,15250.7,1513890960.0,47.67,728345.77
13,15247.17,15253.76,15242.39,15246.95,1513891020.0,52.34,799856.07
14,15261.99,15262.12,15247.17,15247.17,1513891080.0,36.14,550958.29
15,15266.94,15275.39,15259.5,15261.99,1513891140.0,49.2,747200.67
16,15268.88,15268.88,15261.65,15266.94,1513891200.0,34.02,516719.48
17,15239.26,15268.88,15232.93,15268.88,1513891260.0,156.25,2389197.11
18,15237.26,15268.16,15236.38,15240.05,1513891320.0,51.06,775373.99
19,15251.55,15273.28,15234.68,15238.03,1513891380.0,169.93,2607003.63
20,15268.02,15273.53,15249.8,15251.55,1513891440.0,113.08,1723437.75
21,15270.92,15281.54,15267.97,15268.19,1513891500.0,35.09,543181.44
22,15267.23,15272.01,15246.47,15270.92,1513891560.0,86.14,1310437.74
23,15259.88,15275.09,15257.05,15272.77,1513891620.0,44.07,673487.47
24,15282.26,15289.85,15258.89,15258.9,1513891680.0,90.09,1381267.88
25,15304.65,15309.74,15278.87,15280.4,1513891740.0,110.87,1711193.33
26,15309.69,15310.81,15298.2,15304.65,1513891800.0,94.23,1432930.16
27,15292.81,15310.49,15289.56,15309.36,1513891860.0,92.66,1414234.12
28,15304.15,15307.88,15291.43,15292.81,1513891920.0,67.02,1023157.77
29,15324.59,15324.59,15296.97,15303.83,1513891980.0,105.31,1607233.06
30,15346.52,15348.44,15318.05,15324.59,1513892040.0,201.0,3090126.2
31,15345.41,15350.52,15338.39,15346.52,1513892100.0,93.58,1437779.04
32,15353.47,15354.59,15343.33,15345.51,1513892160.0,67.57,1037469.34
33,15360.95,15360.95,15343.57,15354.59,1513892220.0,102.22,1563099.56
34,15383.35,15384.15,15359.91,15360.99,1513892280.0,139.7,2147238.74
35,15407.85,15408.24,15383.36,15383.36,1513892340.0,151.85,2338705.3
36,15430.35,15434.95,15407.85,15407.85,1513892400.0,219.43,3391615.65
37,15424.7,15439.56,15412.64,15430.19,1513892460.0,187.61,2908530.63
38,15454.01,15454.41,15416.83,15422.76,1513892520.0,110.65,1713205.1
39,15475.06,15477.52,15457.04,15457.04,1513892580.0,138.28,2145543.5
40,15510.88,15518.71,15472.68,15475.15,1513892640.0,235.34,3650856.65
41,15553.44,15555.02,15505.36,15505.65,1513892700.0,229.59,3569501.35
42,15588.32,15589.39,15545.47,15554.5,1513892760.0,295.14,4579786.91
43,15636.37,15640.33,15589.95,15590.18,1513892820.0,223.22,3496130.28
44,15642.2,15659.04,15629.95,15636.37,1513892880.0,221.6,3470919.67
45,15641.32,15645.67,15619.49,15639.85,1513892940.0,169.44,2658079.51
46,15677.66,15677.66,15641.68,15642.11,1513893000.0,133.46,2093244.32
47,15680.54,15701.55,15671.33,15680.45,1513893060.0,156.08,2447866.5
48,15688.51,15693.83,15675.5,15679.75,1513893120.0,144.53,2264935.09
49,15642.62,15688.11,15638.67,15688.11,1513893180.0,222.22,3487586.41
50,15624.93,15642.62,15603.58,15642.62,1513893240.0,171.86,2685561.35
51,15532.99,15631.69,15526.37,15619.44,1513893300.0,234.05,3641629.85
52,15510.01,15533.78,15508.04,15533.78,1513893360.0,109.04,1695166.57
53,15589.51,15592.76,15510.01,15510.01,1513893420.0,172.19,2675716.3
54,15578.96,15596.26,15566.57,15587.52,1513893480.0,98.9,1539353.46
55,15592.72,15598.82,15572.96,15578.56,1513893540.0,75.44,1180699.77
56,15561.93,15594.07,15557.35,15594.07,1513893600.0,85.28,1326953.75
57,15535.87,15562.59,15535.05,15562.59,1513893660.0,155.7,2425210.18
58,15563.41,15565.99,15533.78,15535.29,1513893720.0,84.44,1311359.47
59,15546.05,15565.4,15541.37,15563.41,1513893780.0,61.69,957252.43
60,15568.78,15570.01,15542.4,15546.05,1513893840.0,62.16,971966.9
61,15553.5,15574.5,15553.5,15568.78,1513893900.0,88.15,1369123.11
62,15569.99,15576.85,15549.88,15553.5,1513893960.0,36.57,572009.45
63,15565.75,15570.19,15560.73,15569.99,1513894020.0,42.02,655602.47
64,15561.35,15576.56,15556.83,15565.75,1513894080.0,41.8,652117.83
65,15599.05,15599.05,15560.91,15560.91,1513894140.0,65.51,1020633.41
66,15599.81,15603.18,15587.07,15592.46,1513894200.0,80.13,1248589.32
67,15589.24,15603.38,15584.74,15599.32,1513894260.0,86.98,1356890.31
68,15603.5,15607.37,15584.8,15589.24,1513894320.0,68.28,1066193.43
